date,industry,composite_score,ranking,ranking_status,capital_momentum_score,tech_activity_score,external_signal_score,score_change,ranking_change
2026-07-01,物流供应链,54.16666666666666,5,trial,54.16666666666666,,,-4.166666666666686,0
2026-07-01,网络安全,94.16666666666666,1,trial,83.33333333333333,100.0,,1.4583333333333428,0
2026-07-01,跨境电商,37.5,10,trial,37.5,,,0.0,0
2026-07-02,人工智能,54.375,5,trial,62.50000000000001,50.0,,1.4583333333333286,1
2026-07-02,低空经济,37.5,10,trial,37.5,,,-8.333333333333343,-1
2026-07-02,储能,20.83333333333333,11,trial,20.83333333333333,,,0.0,0
2026-07-02,医药健康,62.49999999999999,4,trial,62.49999999999999,,,-4.166666666666664,0
2026-07-02,半导体,46.875,7,trial,87.5,25.0,,-1.4583333333333357,1
2026-07-02,新能源汽车,45.83333333333333,8,trial,45.83333333333333,,,-4.166666666666671,-1
2026-07-02,旅游,79.16666666666667,2,trial,79.16666666666667,,,4.166666666666671,0
2026-07-02,机器人,70.625,3,trial,62.5,75.0,,1.4583333333333428,0
2026-07-02,消费零售,8.333333333333332,12,trial,8.333333333333332,,,0.0,0
2026-07-02,物流供应链,54.16666666666666,6,trial,54.16666666666667,,,0.0,-1
2026-07-02,网络安全,95.625,1,trial,87.5,100.0,,1.4583333333333428,0
2026-07-02,跨境电商,41.66666666666666,9,trial,41.66666666666666,,,4.166666666666657,1
2026-07-03,人工智能,54.375,5,trial,62.50000000000001,50.0,,0.0,0
2026-07-03,低空经济,45.83333333333334,7,trial,45.833333333333336,,,8.333333333333343,3
2026-07-03,储能,25.0,11,trial,25.0,,,4.166666666666671,0
2026-07-03,医药健康,62.49999999999999,4,trial,62.49999999999999,,,0.0,0
2026-07-03,半导体,46.875,6,trial,87.5,25.0,,0.0,1
2026-07-03,新能源汽车,41.66666666666666,9,trial,41.66666666666666,,,-4.166666666666671,-1
2026-07-03,旅游,79.16666666666667,2,trial,79.16666666666667,,,0.0,0
2026-07-03,机器人,72.08333333333333,3,trial,66.66666666666667,75.0,,1.4583333333333286,0
2026-07-03,消费零售,8.333333333333332,12,trial,8.333333333333332,,,0.0,0
2026-07-03,物流供应链,41.66666666666666,8,trial,41.66666666666666,,,-12.5,-2
2026-07-03,网络安全,95.625,1,trial,87.5,100.0,,0.0,0
2026-07-03,跨境电商,41.66666666666666,9,trial,41.66666666666666,,,0.0,0
2026-07-04,人工智能,69.16666666666667,4,trial,58.333333333333336,75.0,,14.791666666666671,1
2026-07-04,低空经济,45.83333333333334,6,trial,45.833333333333336,,,0.0,1
2026-07-04,储能,25.0,11,trial,25.0,,,0.0,0
2026-07-04,医药健康,38.125,10,trial,62.49999999999999,25.0,,-24.374999999999993,-6
2026-07-04,半导体,55.0,5,trial,87.5,37.5,,8.125,1
2026-07-04,新能源汽车,41.66666666666666,8,trial,41.66666666666666,,,0.0,1
2026-07-04,旅游,79.16666666666667,2,trial,79.16666666666667,,,0.0,0
2026-07-04,机器人,72.08333333333333,3,trial,66.66666666666667,75.0,,0.0,0
2026-07-04,消费零售,8.333333333333332,12,trial,8.333333333333332,,,0.0,0
2026-07-04,物流供应链,45.83333333333334,6,trial,45.833333333333336,,,4.166666666666686,2
2026-07-04,网络安全,95.625,1,trial,87.5,100.0,,0.0,0
2026-07-04,跨境电商,41.66666666666666,8,trial,41.66666666666666,,,0.0,1
2026-07-05,人工智能,69.16666666666667,4,trial,58.333333333333336,75.0,,0.0,0
2026-07-05,低空经济,45.83333333333334,6,trial,45.833333333333336,,,0.0,0
2026-07-05,储能,25.0,11,trial,25.0,,,0.0,0
2026-07-05,医药健康,38.125,10,trial,62.49999999999999,25.0,,0.0,0
2026-07-05,半导体,55.0,5,trial,87.5,37.5,,0.0,0
2026-07-05,新能源汽车,41.66666666666666,8,trial,41.66666666666666,,,0.0,0
2026-07-05,旅游,79.16666666666667,2,trial,79.16666666666667,,,0.0,0
2026-07-05,机器人,72.08333333333333,3,trial,66.66666666666667,75.0,,0.0,0
2026-07-05,消费零售,8.333333333333332,12,trial,8.333333333333332,,,0.0,0
2026-07-05,物流供应链,45.83333333333334,6,trial,45.833333333333336,,,0.0,0
2026-07-05,网络安全,95.625,1,trial,87.5,100.0,,0.0,0
2026-07-05,跨境电商,41.66666666666666,8,trial,41.66666666666666,,,0.0,0
